;Year;Administritive Area;Driving Liceses;geo_point_2d
208;(2006);Assir;20330n;19.1387847401, 42.941470036
209;(2007);Assir;10835n;19.1387847401, 42.941470036
210;(2015);Tabouk;915n;27.90165499, 37.2598581394
211;(1993);Tabouk;3174n;27.90165499, 37.2598581394
212;(1997);Tabouk;5426n;27.90165499, 37.2598581394
213;(2002);Tabouk;8794n;27.90165499, 37.2598581394
214;(2005);Tabouk;6511n;27.90165499, 37.2598581394
215;(2016);Hail;54507n;27.400845724, 41.4406960508
216;(1993);Hail;10484n;27.400845724, 41.4406960508
217;(1996);Hail;10267n;27.400845724, 41.4406960508
218;(2003);Hail;3861n;27.400845724, 41.4406960508
219;(2006);Hail;8166n;27.400845724, 41.4406960508
220;(2003);Northern Boarder;1705n;30.197074783, 41.8171186952
221;(1995);Jazan;2284n;17.2072313962, 42.6525807422
222;(1998);Jazan;2613n;17.2072313962, 42.6525807422
223;(2003);Jazan;5220n;17.2072313962, 42.6525807422
224;(2004);Jazan;5016n;17.2072313962, 42.6525807422
225;(2017);Najran;13825n;18.4511003068, 46.8688495726
226;(1993);Najran;3769n;18.4511003068, 46.8688495726
227;(1997);Najran;3073n;18.4511003068, 46.8688495726
228;(2002);Najran;5117n;18.4511003068, 46.8688495726
229;(2005);Najran;4779n;18.4511003068, 46.8688495726
230;(2010);Al-Baha;7076n;20.1484058503, 41.4665484892
231;(2013);Al-Baha;7482n;20.1484058503, 41.4665484892
232;(1997);Al-Baha;3027n;20.1484058503, 41.4665484892
233;(2006);Al-Baha;3593n;20.1484058503, 41.4665484892
234;(2017);Al-Jouf;8091n;29.9677445762, 39.5570371172
235;(1993);Al-Jouf;2884n;29.9677445762, 39.5570371172
236;(1995);Al-Jouf;2270n;29.9677445762, 39.5570371172
237;(1999);Al-Jouf;3950n;29.9677445762, 39.5570371172
238;(2007);Al-Jouf;9097n;29.9677445762, 39.5570371172
239;(2013);Total;565314n;
240;(1995);Total;251878n;
241;(2010);Riyadh;31378n;23.0814341634, 45.5857512766
242;(2003);Riyadh;26076n;23.0814341634, 45.5857512766
243;(2000);Riyadh;45345n;23.0814341634, 45.5857512766
244;(2006);Riyadh;36059n;23.0814341634, 45.5857512766
245;(2008);Riyadh;36798n;23.0814341634, 45.5857512766
246;(2011);Makkah;110647n;21.628962766, 41.2636898334
247;(2017);Madinah;36165n;24.927534539, 39.4918237173
248;(2011);Madinah;14630n;24.927534539, 39.4918237173
249;(1993);Madinah;4122n;24.927534539, 39.4918237173
250;(2002);Madinah;10494n;24.927534539, 39.4918237173
251;(2005);Madinah;10210n;24.927534539, 39.4918237173
252;(2012);Al-Qaseem;11421n;26.1967063704, 43.3429998455
253;(2004);Al-Qaseem;9390n;26.1967063704, 43.3429998455
254;(2005);Al-Qaseem;10480n;26.1967063704, 43.3429998455
255;(2014);Eastern;121774n;23.2883307307, 50.1478302439
256;(2016);Eastern;142307n;23.2883307307, 50.1478302439
257;(2010);Eastern;110295n;23.2883307307, 50.1478302439
258;(1995);Eastern;7831n;23.2883307307, 50.1478302439
259;(1994);Eastern;10918n;23.2883307307, 50.1478302439
260;(1997);Eastern;58814n;23.2883307307, 50.1478302439
261;(2003);Eastern;82697n;23.2883307307, 50.1478302439
262;(2009);Eastern;108544n;23.2883307307, 50.1478302439
263;(2017);Assir;39133n;19.1387847401, 42.941470036
264;(2016);Assir;41367n;19.1387847401, 42.941470036
265;(2013);Assir;29730n;19.1387847401, 42.941470036
266;(2001);Assir;20321n;19.1387847401, 42.941470036
267;(2005);Assir;18565n;19.1387847401, 42.941470036
268;(2014);Tabouk;12188n;27.90165499, 37.2598581394
269;(1995);Tabouk;2051n;27.90165499, 37.2598581394
270;(2004);Tabouk;7532n;27.90165499, 37.2598581394
271;(2015);Hail;7172n;27.400845724, 41.4406960508
272;(2011);Hail;9123n;27.400845724, 41.4406960508
273;(2012);Hail;11082n;27.400845724, 41.4406960508
274;(1994);Hail;11131n;27.400845724, 41.4406960508
275;(1998);Hail;4708n;27.400845724, 41.4406960508
276;(2000);Hail;3215n;27.400845724, 41.4406960508
277;(2015);Northern Boarder;3837n;30.197074783, 41.8171186952
278;(2014);Northern Boarder;5009n;30.197074783, 41.8171186952
279;(2013);Northern Boarder;3921n;30.197074783, 41.8171186952
280;(1995);Northern Boarder;1318n;30.197074783, 41.8171186952
281;(1994);Northern Boarder;1457n;30.197074783, 41.8171186952
282;(1997);Northern Boarder;1531n;30.197074783, 41.8171186952
283;(2007);Northern Boarder;3479n;30.197074783, 41.8171186952
284;(2008);Northern Boarder;3519n;30.197074783, 41.8171186952
285;(2017);Jazan;18345n;17.2072313962, 42.6525807422
286;(2016);Jazan;11504n;17.2072313962, 42.6525807422
287;(2012);Jazan;11156n;17.2072313962, 42.6525807422
288;(1996);Jazan;2226n;17.2072313962, 42.6525807422
289;(2002);Jazan;5254n;17.2072313962, 42.6525807422
290;(2006);Jazan;7955n;17.2072313962, 42.6525807422
291;(2015);Riyadh;24548n;23.0814341634, 45.5857512766
292;(2017);Riyadh;495307n;23.0814341634, 45.5857512766
293;(2016);Riyadh;242851n;23.0814341634, 45.5857512766
294;(1998);Riyadh;114962n;23.0814341634, 45.5857512766
295;(2002);Riyadh;25423n;23.0814341634, 45.5857512766
296;(2007);Riyadh;36261n;23.0814341634, 45.5857512766
297;(2004);Riyadh;23479n;23.0814341634, 45.5857512766
298;(2009);Riyadh;38014n;23.0814341634, 45.5857512766
299;(1996);Makkah;46195n;21.628962766, 41.2636898334
300;(2014);Najran;9601n;18.4511003068, 46.8688495726
301;(2011);Najran;7314n;18.4511003068, 46.8688495726
302;(1994);Najran;3880n;18.4511003068, 46.8688495726
303;(1998);Najran;4322n;18.4511003068, 46.8688495726
304;(2001);Najran;4950n;18.4511003068, 46.8688495726
305;(2004);Najran;4609n;18.4511003068, 46.8688495726
306;(2017);Al-Baha;4131n;20.1484058503, 41.4665484892
307;(2004);Al-Baha;3410n;20.1484058503, 41.4665484892
308;(2008);Al-Baha;5418n;20.1484058503, 41.4665484892
309;(2009);Al-Baha;9815n;20.1484058503, 41.4665484892
310;(2016);Al-Jouf;9371n;29.9677445762, 39.5570371172
311;(2011);Al-Jouf;10180n;29.9677445762, 39.5570371172
312;(2013);Al-Jouf;11602n;29.9677445762, 39.5570371172
313;(2003);Al-Jouf;3852n;29.9677445762, 39.5570371172
314;(2016);Total;697017n;
315;(1997);Total;289296n;
316;(1996);Total;237623n;
317;(1998);Total;338350n;
318;(2002);Makkah;88593n;21.628962766, 41.2636898334
319;(2003);Makkah;74236n;21.628962766, 41.2636898334
320;(2007);Makkah;91902n;21.628962766, 41.2636898334
321;(2015);Madinah;22744n;24.927534539, 39.4918237173
322;(1997);Madinah;10495n;24.927534539, 39.4918237173
323;(2008);Madinah;9194n;24.927534539, 39.4918237173
324;(2011);Al-Qaseem;10760n;26.1967063704, 43.3429998455
325;(1993);Al-Qaseem;73618n;26.1967063704, 43.3429998455
326;(1997);Al-Qaseem;10092n;26.1967063704, 43.3429998455
327;(1999);Al-Qaseem;9983n;26.1967063704, 43.3429998455
328;(1998);Al-Qaseem;11350n;26.1967063704, 43.3429998455
329;(2002);Al-Qaseem;16298n;26.1967063704, 43.3429998455
330;(2008);Al-Qaseem;22236n;26.1967063704, 43.3429998455
331;(2009);Al-Qaseem;27571n;26.1967063704, 43.3429998455
332;(1993);Eastern;9964n;23.2883307307, 50.1478302439
333;(1999);Eastern;64973n;23.2883307307, 50.1478302439
334;(1998);Eastern;70650n;23.2883307307, 50.1478302439
335;(2004);Eastern;84984n;23.2883307307, 50.1478302439
336;(2005);Eastern;82505n;23.2883307307, 50.1478302439
337;(2010);Assir;21835n;19.1387847401, 42.941470036
338;(1993);Assir;6226n;19.1387847401, 42.941470036
339;(1994);Assir;5185n;19.1387847401, 42.941470036
340;(2004);Assir;17947n;19.1387847401, 42.941470036
341;(2009);Assir;21582n;19.1387847401, 42.941470036
342;(2016);Tabouk;13610n;27.90165499, 37.2598581394
343;(2012);Tabouk;11391n;27.90165499, 37.2598581394
344;(1999);Tabouk;5298n;27.90165499, 37.2598581394
345;(2000);Tabouk;8473n;27.90165499, 37.2598581394
346;(2006);Tabouk;8259n;27.90165499, 37.2598581394
347;(2013);Hail;9731n;27.400845724, 41.4406960508
348;(1997);Hail;6606n;27.400845724, 41.4406960508
349;(1999);Hail;3139n;27.400845724, 41.4406960508
